                                    Musical Engineer's Handbook
                                         by Bernie Hutchins
                                         Table of Contents
---------------------------------------------------------------------------------------------------
Page #1    Cover Page
Page #137  --- --- Astable (Oscillator) Circuits
Page #138  --- --- Special Applications
Page #139  --- Chapter 3F: Basic Applications of: Digital Integrated Circuits
Page #139  --- --- Introduction
Page #139  --- --- Application of Logic Gates
Page #142  --- --- Application of Flip-Flops
Page #144  --- --- Special Applications of MSI Devices
Page #146  --- --- Designing with TTL Logic IC's
Page #147  --- Chapter 3G: Basic Applications of: CMOS Integrated Circuits
Page #147  --- --- Introduction
Page #147  --- --- Basic CMOS Application Considerations
Page #148  --- --- Linear CMOS Applications
Page #149  --- --- The Analog Switch
Page #150  --- --- CMOS Handling Precautions
Page #150  --- --- CMOS Interfacing
Page #151  --- Chapter 3H: Miscellaneous Musical IC's
Page #151  --- --- Introduction
Page #151  --- --- VCO and Function Generator Chips
Page #152  --- --- Top Octave Generators
Page #153  --- --- Binary Dividers
Page #154  --- --- Phase-Locked Loops
Page #155  Section 4, Basic Circuit Designs
Page #155  --- Chapter 4A: Circuits Using IC Amplifiers
Page #155  --- --- Introduction
Page #155  --- --- Audio Circuits
Page #156  --- --- Integrators and Differentiators
Page #156  --- --- Simple Signal Generators
Page #157  --- --- Full-Wave Rectifiers
Page #158  --- --- Peak Detectors
Page #159  --- Chapter 4B: Analysis and Design of Active Filters
Page #159  --- --- Introduction
Page #159  --- --- Terminology of Active Filtering
Page #162  --- --- Example Filter Analysis
Page #163  --- --- --- Low-Pass Butterworth
Page #165  --- --- --- State Variable
Page #166  --- --- --- Chebyshev
Page #167  --- --- --- Other Configurations
Page #169  --- Chapter 4C: Circuits Using Discrete Semiconductors
Page #169  --- --- Introduction
Page #169  --- --- The Basic Bipolar Junction Transistor
Page #170  --- --- Electronic Music Applications for FET's
Page #170  --- --- Circuits Using Transistors for Their Logarithmic Properties
Page #171  --- --- Current Sources
Page #172  --- --- Schmitt Triggers with Transistors
Page #172  --- --- Op-Amp Power Output Stage
Page #173  Section 5, Design Of Conventional Music Modules
Page #173  --- Chapter 5A: Modular Design - General Considerations, Inputs and Outputs
Page #173  --- --- Introduction
Page #175  --- --- Voltage Input Structures
Page #179  --- --- Timing Signal Input Structures
Page #180  --- --- Output Structures
Page #183  --- Chapter 5B: Voltage-Controlled Oscillator Design
Page #183  --- --- Introductory Notes
Page #184  --- --- Introduction
Page #186  --- --- Design of the Basic Oscillator
Page #190  --- --- Design of Exponential Current Stages
Page #198  --- --- Design of Waveshaping Circuits
Page #205  --- --- Design Example
Page #209  --- Chapter 5C: Voltage-Controlled Amplifier Design
Page #209  --- --- Introduction
Page #210  --- --- Design of Two-Quadrant Multipliers
Page #215  --- --- Controlled Current Sources for VCA's
Page #217  --- --- Design Examples
Page #217  --- --- --- VCA Design Example #1
Page #218  --- --- --- VCA Design Example #2 (Linear And Exponential Controls)
Page #219  --- Chapter 5D: Voltage-Controlled Filter Design
Page #219  --- --- Introduction
Page #220  --- --- Control Elements for VCF's
Page #223  --- --- Adapting Current Sources for VCF's
Page #225  --- --- Design Examples
Page #225  --- --- --- #1; Reprint: "A Four Pole Voltage-Controlled Network; Analysis, Design, and
                       Application as a Low-Pass VCF and a Quadrature Oscillator" (from EN#41)
Page #232  --- --- --- #2; Voltage-Controlled State Variable Filter (from EN#37)
Page #233  --- Chapter 5E: Envelope Generator Design
Page #233  --- --- Introduction
Page #234  --- --- Attack-Release (AR) Envelope Generators
Page #235  --- --- Attack-Decay (AD) Envelope Generators
Page #236  --- --- Attack-Decay-Sustain-Release (ADSR) Envelope Generators
Page #239  --- --- Design Example - ADSR
Page #240  --- --- Envelope Delay Units
Page #241  --- --- Design Example - Delay Unit
Page #242  --- --- Special Features
Page #243  --- Chapter 5F: Balanced "Ring" Modulator Design
Page #243  --- --- Introduction
Page #244  --- --- Adapting the Analog Multiplier
Page #245  --- --- Design Example
Page #247  --- Chapter 5G: Sample-and-Hold Design
Page #247  --- --- Introduction
Page #248  --- --- Design Example
Page #249  --- --- Additional Features
Page #251  --- Chapter 5H: Noise and Random Source Design
Page #251  --- --- Introduction
Page #251  --- --- Sources Using Semiconductor Junctions
Page #252  --- --- Design Example
Page #252  --- --- Pseudo-Random Sequencers
Page #255  --- Chapter 5I: Mixer and Multiple Design
Page #255  --- --- Introduction
Page #255  --- --- Design and Placement of Multiples
Page #256  --- --- Design of Mixers
Page #259  --- Chapter 5J: Power Supply Design
Page #259  --- --- Introduction
Page #260  --- --- Determining Power Requirements
Page #260  --- --- The Basic Unregulated Supply
Page #263  --- --- Basic Considerations for Regulators
Page #265  --- --- Integrated Circuit Regulators
Page #265  --- --- --- 5 Volt Supplies
Page #265  --- --- --- ±15 Volt, Low Current Supplies
Page #266  --- --- --- ±15 Volt, High Current Supplies
Page #267  --- --- Protective Circuitry
Page #269  Section 6, New Types Of Modules
Page #269  --- Chapter 6A: Frequency Shifter Design
Page #269  --- --- Introduction
Page #270  --- --- Methods of Frequency Shifting
Page #270  --- --- --- The Double Heterodyning Method
Page #271  --- --- --- The Phase Shift Method
Page #271  --- --- --- Methods of Providing the Quadrature Signal
Page #274  --- --- Reprint of "Design of 90° Phase Difference Networks and application to Frequency
                   Shifter Design" (EN#43)
Page #282  --- --- Calculation of Poles of 90° Phase Difference Networks by Weaver's Method
Page #283  --- --- Determining the Required Accuracy
Page #287  --- Chapter 6B: Pitch and Envelope Followers
Page #287  --- --- Introduction
Page #287  --- --- Pitched Signal Production
Page #288  --- --- Pitch Extraction Based on Spectral Information or Pattern Recognition
Page #289  --- --- An Experimental Pitch Extractor and Envelope Follower
Page #291  --- Chapter 6C: Modules Employing Analog Delay Lines
Page #291  --- --- Introduction
Page #292  --- --- Applications Using Mixtures of Delayed and Original Signals
Page #292  --- --- Phasing
Page #293  --- --- Recursive Structures
Page #293  --- --- Reverberation Devices
Page #295  --- Chapter 6D: Transform Devices
Page #295  --- --- Introduction
Page #295  --- --- Comparison of Transform Approaches and the Traditional Approaches
Page #296  --- --- A Hadamard Transform Device
Page #299  Section 7, Controllers And Interface Units
Page #299  --- Chapter 7A: Design of Controllers
Page #299  --- --- Introduction
Page #299  --- --- Keyboards (Discrete Controllers)
Page #300  --- --- Continuous Controllers
Page #302  --- --- Miscellaneous Controllers
Page #303  --- Chapter 7B: Design of Controller Interfaces
Page #303  --- --- Introduction
Page #304  --- --- Keyboard Interfaces
Page #308  --- --- Use of Keyboard Interfaces with Other Units
Page #309  --- --- Digital Interfaces
Page #309  --- --- Digital Counting Interfaces
Page #310  --- --- Touch Control
Page #311  --- --- Touch Sensitivity Translators
Page #312  --- --- Polyphonic Controls and Systems
Page #313  --- Chapter 7C: Design of Sequencers
Page #313  --- --- Introduction
Page #313  --- --- The Characterization of Sequencers
Page #314  --- --- Bucket Brigade Sequencers
Page #316  --- --- The Sample-and-Hold as a Sequencer
Page #316  --- --- Digital Sequencers
Page #317  Section 8, Musical Engineering Operations
Page #317  --- Chapter 8A: Overall Design Considerations
Page #317  --- --- Introduction
Page #318  --- --- Design Steps
Page #318  --- --- Selecting the Number of Modules
Page #319  --- --- Breaking Design Deadlocks
Page #320  --- --- Documentation
Page #321  --- Chapter 8B: Construction
Page #321  --- --- Introduction
Page #321  --- --- Preparation of Circuit Boards
Page #323  --- --- Soldering and Soldering Irons
Page #323  --- --- Wiring of Circuit Boards
Page #325  --- --- Panel Preparation and Wiring
Page #325  --- --- Living With Patch Cords
Page #327  --- Chapter 8C: Troubleshooting
Page #327  --- --- Introduction
Page #328  --- --- Checking the Obvious
Page #328  --- --- Learning What Should be Happening
Page #328  --- --- Isolating the Trouble
Page #329  --- --- Some Troubleshooting Rules
Page #329  --- --- Checking Certain Modules
Page #330  --- --- Troubleshooting Designs and Patches
Page #330  --- --- Special Problems and Techniques
Page #331  Section 9, References
Page #331  --- Chapter 9A: Math Tables
Page #331  --- --- Introduction
Page #331  --- --- Constants
Page #332  --- --- Conversion Factors
Page #332  --- --- Fractional Roots of Two
Page #332  --- --- Rules for Logs and Exponentials
Page #333  --- --- Trig. Identities
Page #333  --- --- Relations between Exponentials and Trig. Functions
Page #333  --- --- Relationships with Bessel Functions
Page #334  --- --- Tables of Trig. Functions
Page #334  --- --- Tables of Bessel Functions (Jₙ and Iₙ)
Page #335  --- --- --- Bessel Functions Of The First Kind Jₙ(x)
Page #336  --- --- --- Modified Bessel Functions Iₙ(x)
Page #339  --- Chapter 9B: Engineering References
Page #339  --- --- Resistor Color Code
Page #339  --- --- Butterworth Polynomials
Page #340  --- --- Table of 5% Resistor Ratios
Page #341  --- --- Laplace Transform Pairs
Page #343  --- Chapter 9C: Electrical Component Data
Page #343  --- --- Introduction
Page #344  --- --- Linear IC's
Page #345  --- --- Arrays
Page #346  --- --- Digital IC's
Page #351  --- Chapter 9D: Reprint Papers
Page #351  --- --- Introduction
Page #353  --- --- "Experimental Electronic Music Devices Employing Walsh Functions" by Bernard A.
                   Hutchins, Jr. - Reprinted from J. Aud. Eng. Soc. 12 #8, Oct. 1973, pg. 640-645
                   with the permission of the author
Page #359  --- --- "Some Notes on the Generation of Sine Waves by Walsh Functions"
Page #371  --- Chapter 9E: Bibliography of Handbook Topics
Page #371  --- --- Introduction
Page #371  --- --- Bibliography, Chapters 1a to 8c
Page #375  Index
        Page count: 376
